'11000001;5;4.75;4;0;0;0;3.5;6.5;7.75
'11000002;2.6;4.75;3.6;0;0;0;0;0;0
'11000003;6.6;5.75;7.8;0;0;0;7;7.75;9
'11000004;7.2;7.5;5.2;0;0;0;8.75;8.5;9.5
'11000005;4.2;4.75;0;0;0;0;6.75;6;0
'11000006;6.2;5;3.6;0;0;0;5.25;8.25;8.75
'11000007;4.2;5;3.4;0;0;0;4.25;7;8.75
'11000008;7.2;6;3.8;0;0;0;8;8.25;9
'11000009;2.8;5.75;2.2;0;0;0;4.25;7.25;8.75
'11000010;4;6.25;3.4;0;0;0;7;7.25;8.75
'11000011;3;4.5;0;0;0;0;4;4.75;0
'11000012;2.8;5;2.4;0;0;0;5.5;6.5;9
'11000013;5;5.5;3;0;0;0;5;8.5;8.5
'11000014;2.6;2.75;0;0;0;0;2.5;2;0
'11000015;6.8;8.25;5;0;0;0;7.25;7.5;8.5
'11000016;2.8;5.75;2.2;0;0;0;6.75;7.25;7.75
'11000017;3.8;5.5;1.8;0;0;0;5.5;7.5;9
'11000018;4.8;6.75;2.4;0;0;0;3.75;7.75;8.5
'11000019;7.2;5.25;5;0;0;0;7.75;8.5;9.25
'11000020;2.8;3.75;2.2;0;0;0;3;6.25;5.75
'11000021;5;5.25;2;0;0;0;5.25;6.75;8
'11000022;7.2;7.5;3.4;0;0;0;4.25;8.25;8.75
'11000023;4.8;4.75;1.2;0;0;0;2.75;6.5;8.75
'11000024;3.4;4.5;2.4;0;0;0;5.5;6.5;9.25
'11000025;6.8;6.5;0;0;0;0;6.25;6.5;0
'11000026;1.8;5.25;2.8;0;0;0;6;7.25;7.75
'11000027;6.4;5.25;4.2;0;0;0;5.5;7.5;9.75
'11000028;6.4;8.25;3.8;0;0;0;8.25;7.75;9.5
'11000029;5.6;6.75;3.4;0;0;0;5.25;6.75;9.25
'11000030;2.8;3.25;0;0;0;0;4.25;5.25;0
'11000031;6.4;6.25;3.8;0;0;0;7.25;8.25;9.25
'11000032;2.6;5.25;0;0;0;0;6;7.5;0
'11000033;3.8;5.5;3.2;0;0;0;4.5;7;8.25
'11000034;7.2;8;2.6;0;0;0;5.5;8.25;9.5
'11000035;7.2;6.25;6;0;0;0;7.75;8.5;9.75
'11000036;5.2;5.25;2.6;0;0;0;5.25;7.25;8.5
'11000037;0;6.5;0;0;0;0;8.25;8.25;0
'11000038;3.4;4.5;2.8;0;0;0;5;6.75;9.5
'11000039;6.2;5.5;3;0;0;0;5;8.25;8.5
'11000040;2.2;3.25;0;0;0;0;5.75;7.75;0
'11000041;5.6;3.75;2.8;0;0;0;4.25;7.5;8.5
'11000042;2.8;4.75;3.2;0;0;0;4.75;7;8.5
'11000043;7.4;6;4.8;0;0;0;6.75;8.25;8.75
'11000044;8.4;5;4.2;0;0;0;6;8.5;9.75
'11000045;6.2;6;6.4;0;0;0;6.25;7.5;8.75
'11000046;7;5.25;3.8;0;0;0;5.25;7.75;9.25
'11000047;6.4;5;3;0;0;0;5.5;7.5;8.75
'11000048;5.4;5.5;2.6;0;0;0;6.5;7.75;8.5
'11000049;3.4;4;2.6;0;0;0;5.5;8.5;7.5
'11000050;7.6;8.25;4.2;0;0;0;0;0;0
'11000051;6.4;7.25;5;0;0;0;7.25;9;9
'11000052;7.2;5.58;4.2;0;0;0;7.5;9.5;9
'11000053;0;7.25;0;0;0;0;7.5;9.25;0
'11000054;5.6;5.75;3.2;0;0;0;6.5;8.5;9.5
'11000055;4.2;4.25;3;0;0;0;5;6.5;9
'11000056;4.8;4;2.8;0;0;0;3.75;6.25;7.75
'11000057;6.8;6;5.4;0;0;0;0;0;0
'11000058;5.6;7.25;3;0;0;0;6.5;8.75;9.5
'11000059;6.2;6;2.4;0;0;0;8;9;9
'11000060;7.8;7.5;4.6;7.75;8;6.25;0;0;0
'11000061;3.8;4.92;0;0;0;0;4.75;4.75;0
'11000062;6.2;6;2.8;0;0;0;6;7;9.25
'11000063;4.8;4;3.2;0;0;0;5;8.25;8.5
'11000064;7.4;8.5;5.2;0;0;0;9;8.5;9.5
'11000065;5.2;6;3;0;0;0;8;7.75;8.5
'11000066;5;4.5;2.8;0;0;0;5.75;7.75;7.75
'11000067;5.2;4;4.2;0;0;0;5.5;6;8.5
'11000068;5.2;4.5;2.8;0;0;0;5.75;7.25;8.25
'11000069;0;6.5;0;0;0;0;7.25;8;0
'11000070;5.6;5.75;2.6;0;0;0;4;6.5;8.5
'11000071;6.4;5.5;4;0;0;0;5.5;8.25;9
'11000072;2.4;3.75;2.8;0;0;0;3.75;6.5;0
'11000073;7.8;7;2.6;0;0;0;6.5;7.75;9
'11000074;6;5.5;2.2;0;0;0;5.5;8;8.75
'11000075;5;5.5;3.2;0;0;0;5.75;7.25;8.75
'11000076;4.4;5.5;2.2;0;0;0;4.5;7.75;8.25
'11000077;7.4;7.75;2.8;0;0;0;5.25;8.25;9
