No,Math,Van,Anh,Ly,Hoa,Sinh,Su,Dia,GDCD,KhoiA,KhoiA1,KhoiB,KhoiD
'11002042,8.8,8,6.8,8.25,8.75,7.25,0,0,0,25.8,23.85,24.8,24.8
'11002822,7.8,0,0,0,7.5,7,0,0,0,15.3,7.8,22.3,22.3
'11002022,8.4,6,5,7,7.75,6,0,0,0,23.15,20.4,22.15,22.15
'11002025,8.4,4.75,5,8,7.25,6.5,0,0,0,23.65,21.4,22.15,22.15
'11002009,8.2,7.25,6.4,7.5,7.25,6.25,0,0,0,22.95,22.1,21.7,21.7
'11002805,9,6.75,5,6.25,6,6.5,0,0,0,21.25,20.25,21.5,21.5
'11002359,7.8,6,3.6,6.25,6,7.5,0,0,0,20.05,17.65,21.3,21.3
'11002857,8.6,5.25,4,6,6.5,6,0,0,0,21.1,18.6,21.1,21.1
'11002316,7.8,6.42,6.4,7,5.75,7.5,0,0,0,20.55,21.2,21.05,21.05
'11002772,6.8,7.5,4.4,5.25,6.75,7.25,0,0,0,18.8,16.45,20.8,20.8
'11002377,7.4,8,6.2,8,7.5,5.75,0,0,0,22.9,21.6,20.65,20.65
'11002791,7.4,6,5.4,6,5.5,7.5,0,0,0,18.9,18.8,20.4,20.4
'11002754,7.8,7.25,6.8,5,6.5,6,0,0,0,19.3,19.6,20.3,20.3
'11002849,7.4,7.25,4.4,6.25,5.25,6.5,0,0,0,18.9,18.05,19.15,19.15
'11002803,7.4,4.75,4,7,6,5.75,0,0,0,20.4,18.4,19.15,19.15
'11002357,7,0,0,5.5,6.5,5.5,0,0,0,19,12.5,19,19
'11002121,7.6,4.75,3.8,5,6,5.25,0,0,0,18.6,16.4,18.85,18.85
'11002322,6.8,6.75,3.2,5.75,4.75,7.25,0,0,0,17.3,15.75,18.8,18.8
'11002850,6.6,5,4.4,8,5.25,6.5,0,0,0,19.85,19,18.35,18.35
'11002456,7.8,0,0,0,4.5,6,0,0,0,12.3,7.8,18.3,18.3
'11002818,7.2,0,0,0,4.25,6.5,0,0,0,11.45,7.2,17.95,17.95
'11002016,7.4,5,5,7.75,5,4.5,0,0,0,20.15,20.15,16.9,16.9
'11002104,7.6,0,0,6.75,7.5,0,0,0,0,21.85,14.35,15.1,15.1
'11002563,7.6,0,0,7.5,7.5,0,0,0,0,22.6,15.1,15.1,15.1
'11002814,8.4,0,0,7.5,5.25,0,0,0,0,21.15,15.9,13.65,13.65
'11002514,4.8,0,0,2,2.75,5.25,0,0,0,9.55,6.8,12.8,12.8
'11002836,4.4,0,0,0,1.75,4.5,0,0,0,6.15,4.4,10.65,10.65
'11002110,9.4,7.5,8.2,0,0,0,0,0,0,9.4,17.6,9.4,9.4
'11002045,8.8,8,8.8,0,0,0,6.5,8.25,9.25,8.8,17.6,8.8,8.8
'11002148,8.6,8,4,0,0,0,0,0,0,8.6,12.6,8.6,8.6
'11002247,8.6,7.25,3,0,0,0,4.5,7,8.75,8.6,11.6,8.6,8.6
'11002232,8.4,8,0,0,0,0,8.5,0,0,8.4,8.4,8.4,8.4
'11002582,8.4,7,6.2,0,0,0,6,8,8.5,8.4,14.6,8.4,8.4
'11002231,8.2,4.25,2.8,0,0,0,7,8.75,9.75,8.2,11,8.2,8.2
'11002087,8.2,7,5,0,0,0,5,7,8.25,8.2,13.2,8.2,8.2
'11002840,8.2,7.25,5.4,0,0,0,7.25,8.5,9.5,8.2,13.6,8.2,8.2
'11002411,8.2,7,3.8,0,0,0,7.5,7.75,9.5,8.2,12,8.2,8.2
'11002419,8.2,7.75,6.2,0,0,0,7.25,9.5,8.75,8.2,14.4,8.2,8.2
'11002164,8.2,6.75,4.8,0,0,0,8,8,9.75,8.2,13,8.2,8.2
'11002654,8,8.5,6,0,0,0,9.25,9.75,10,8,14,8,8
'11002026,8,7.75,4.4,0,0,0,5.25,7.25,9.5,8,12.4,8,8
'11002027,8,6.25,2.6,0,0,0,3.75,7.75,8.25,8,10.6,8,8
﻿'11002001,8,6,2.6,0,0,0,7,8,9.25,8,10.6,8,8
'11002434,8,6.5,4.4,0,0,0,7.5,7,9.25,8,12.4,8,8
'11002439,8,8.5,5.4,0,0,0,8.5,8.25,9.75,8,13.4,8,8
'11002018,8,6.75,3,0,0,0,5,6.25,8.75,8,11,8,8
'11002492,8,8.5,0,0,0,0,9.5,0,0,8,8,8,8
'11002046,8,6,3.4,0,0,0,7.25,7.25,9.75,8,11.4,8,8
'11002076,8,6,4,0,0,0,7.75,8.25,9.25,8,12,8,8
'11002569,8,5.25,4.8,0,0,0,7,8,8.75,8,12.8,8,8
'11002573,8,8.25,5.6,0,0,0,8.25,8.25,9.5,8,13.6,8,8
'11002187,8,7.25,4.2,0,0,0,7.75,8.75,9.25,8,12.2,8,8
'11002596,8,7.25,5.6,0,0,0,6,7.75,9,8,13.6,8,8
