No,Math,Van,Anh,Ly,Hoa,Sinh,Su,Dia,GDCD,KhoiA,KhoiA1,KhoiB,KhoiD
'32002795,9.8,6,5.2,8.75,9.5,5.25,0,0,0,28.05,23.75,24.55,21
'32001412,9.6,7.5,6.8,8.75,9.5,7,0,0,0,27.85,25.15,26.1,23.9
'32000513,9.6,5.75,4.4,8.75,9.25,4.5,0,0,0,27.6,22.75,23.35,19.75
'32000682,9.8,5.75,5.6,9,8.75,5.25,0,0,0,27.55,24.4,23.8,21.15
'32000881,9.4,5.25,4.2,9,9,5.5,0,0,0,27.4,22.6,23.9,18.85
'32000992,9.4,5,5.2,8.75,9.25,5,0,0,0,27.4,23.35,23.65,19.6
'32002461,9.8,6.25,5.8,8.5,9,5.5,0,0,0,27.3,24.1,24.3,21.85
'32002322,8.8,6.5,6.4,9,9.5,6.5,0,0,0,27.3,24.2,24.8,21.7
'32002725,9.4,7,5,8.75,9,6.25,0,0,0,27.15,23.15,24.65,21.4
'32001935,9.4,5.75,4.8,9,8.75,3.75,0,0,0,27.15,23.2,21.9,19.95
'32000621,8.8,7.25,4.8,9.25,9,6.75,0,0,0,27.05,22.85,24.55,20.85
'32000369,8.8,0,0,9.25,9,0,0,0,0,27.05,18.05,17.8,8.8
'32001455,9.2,7,2.4,9,8.75,5.25,0,0,0,26.95,20.6,23.2,18.6
'32001387,9.4,0,0,8.25,9.25,0,0,0,0,26.9,17.65,18.65,9.4
'32001405,9.4,6.25,3.4,8.5,9,7.25,0,0,0,26.9,21.3,25.65,19.05
'32000993,9.4,5.5,5.4,8,9.5,5.25,0,0,0,26.9,22.8,24.15,20.3
'32002377,8.6,6.75,5.4,9.25,9,4,0,0,0,26.85,23.25,21.6,20.75
'32001677,8.6,6.75,4.2,8.75,9.5,5.25,0,0,0,26.85,21.55,23.35,19.55
'32002010,9,6.25,3.2,9,8.75,4.5,0,0,0,26.75,21.2,22.25,18.45
'32002516,9.2,0,0,8.75,8.75,1.75,0,0,0,26.7,17.95,19.7,9.2
'32002018,9.2,7.25,7.4,9,8.5,7,0,0,0,26.7,25.6,24.7,23.85
'32000672,9.2,7.5,7,8.5,9,5.75,0,0,0,26.7,24.7,23.95,23.7
'32001861,8.4,6.5,7.2,9,9.25,4.5,0,0,0,26.65,24.6,22.15,22.1
'32002499,9.6,7,6.4,9,8,7.25,0,0,0,26.6,25,24.85,23
'32002657,9.8,6,8.2,8.25,8.5,6.5,0,0,0,26.55,26.25,24.8,24
