No,Math,Van,Anh,Ly,Hoa,Sinh,Su,Dia,GDCD,KhoiA,KhoiA1,KhoiB,KhoiD
'32000657,8.8,9,9.6,7,4.25,6.5,0,0,0,20.05,25.4,19.55,27.4
'32002029,9.2,9.5,8.2,0,0,0,6.75,7.75,7.75,9.2,17.4,9.2,26.9
'32002743,9,8.5,9.2,0,0,0,5.75,8.25,9,9,18.2,9,26.7
'32000831,9.2,8.25,9.2,0,0,0,8.25,8,9,9.2,18.4,9.2,26.65
'32001893,9.2,8.25,9.2,0,0,0,6.5,7.5,9.25,9.2,18.4,9.2,26.65
'32002146,8.8,8.25,9.6,0,0,0,4.5,6.75,8.25,8.8,18.4,8.8,26.65
'32000226,9.2,8.75,8.6,0,0,0,0,0,0,9.2,17.8,9.2,26.55
'32002534,8.6,8.75,9.2,0,0,0,8.75,7.75,9.5,8.6,17.8,8.6,26.55
'32000063,8.8,8.75,9,0,0,0,0,0,0,8.8,17.8,8.8,26.55
'32000761,8.8,9,8.6,0,0,0,5.75,7.75,8.5,8.8,17.4,8.8,26.4
'32001969,9.2,8.5,8.6,0,0,0,5,5.75,8.25,9.2,17.8,9.2,26.3
'32001978,9.4,9,7.8,0,0,0,6.25,8.5,9,9.4,17.2,9.4,26.2
'32001304,8.8,8.75,8.6,0,0,0,7.25,8,9,8.8,17.4,8.8,26.15
'32001913,9.4,7.75,9,7.5,5,4.75,0,0,0,21.9,25.9,19.15,26.15
'32001265,8.2,8.5,9.4,0,0,0,6,7,8.75,8.2,17.6,8.2,26.1
'32002487,8.4,8.5,9.2,0,0,0,5.25,6.75,8.25,8.4,17.6,8.4,26.1
'32002690,9.8,7.25,9,8.75,5.75,5.5,0,0,0,24.3,27.55,21.05,26.05
'32002843,8.6,8.25,9.2,0,0,0,6,7.25,8,8.6,17.8,8.6,26.05
'32002498,9.4,6.75,9.8,9.25,5.25,7.5,0,0,0,23.9,28.45,22.15,25.95
'32002694,9,7.5,9.4,8.25,5.5,4.5,0,0,0,22.75,26.65,19,25.9
'32001259,9,8.75,8,0,0,0,7.25,7.5,8.75,9,17,9,25.75
'32001881,8.6,8.75,8.4,0,0,0,6.25,8,9,8.6,17,8.6,25.75
'32000045,8.6,8.75,8.4,0,0,0,6,6.75,9.75,8.6,17,8.6,25.75
'32001944,9.2,7.25,9.2,7.5,5.25,5.25,0,0,0,21.95,25.9,19.7,25.65
'32002768,8.4,9,8.2,0,0,0,5,7.75,8.25,8.4,16.6,8.4,25.6
'32001582,8.4,8.75,8.4,0,0,0,6.25,6.5,8.5,8.4,16.8,8.4,25.55
'32000014,8.8,8.5,8.2,0,0,0,6.25,8,9.5,8.8,17,8.8,25.5
'32001926,8.8,8.5,8.2,0,0,0,5.5,8.25,8.75,8.8,17,8.8,25.5
'32000213,9,9.5,7,0,0,0,9.5,8.5,9.5,9,16,9,25.5
'32002032,8.2,8.25,9,0,0,0,5,7,7,8.2,17.2,8.2,25.45
'32002431,8.6,8,8.8,0,0,0,5.5,6.75,8.5,8.6,17.4,8.6,25.4
'32002328,9.4,7,9,8.75,6,6.75,0,0,0,24.15,27.15,22.15,25.4
'32000339,9.2,7.75,8.4,6.25,8.5,6.75,0,0,0,23.95,23.85,24.45,25.35
'32002118,8.8,8.25,8.2,0,0,0,5.75,6.75,8.5,8.8,17,8.8,25.25
'32002123,8.6,8,8.6,0,0,0,6,6.25,8.5,8.6,17.2,8.6,25.2
'32002835,9,8,8.2,7.25,7,6,0,0,0,23.25,24.45,22,25.2
'32001130,9.4,8,7.8,0,0,0,4.75,7.75,9,9.4,17.2,9.4,25.2
'32001908,8.2,8.75,8.2,0,0,0,5,6.5,7.75,8.2,16.4,8.2,25.15
'32002758,8.4,7.75,9,0,0,0,4.75,4.75,8,8.4,17.4,8.4,25.15
'32000942,8.4,8.75,8,0,0,0,7.25,8.25,9.75,8.4,16.4,8.4,25.15
'32000243,8.4,8.75,8,0,0,0,7,8.25,9.25,8.4,16.4,8.4,25.15
'32000835,9,8.75,7.4,0,0,0,6.25,8.75,9.25,9,16.4,9,25.15
'32002537,8.4,8.5,8.2,0,0,0,4.75,6.5,6.75,8.4,16.6,8.4,25.1
'32002333,9,8.25,7.8,6.25,8.25,7.5,0,0,0,23.5,23.05,24.75,25.05
'32000334,8.8,9,7.2,0,0,0,5.25,6.5,9.25,8.8,16,8.8,25
'32001902,9.2,7,8.8,0,0,0,3,6.75,8,9.2,18,9.2,25
'32002126,9.2,8,7.8,0,0,0,5.25,8,7.75,9.2,17,9.2,25
'32002469,8.4,7.75,8.8,7.5,5.25,5.25,0,0,0,21.15,24.7,18.9,24.95
'32001891,8.4,8.75,7.8,0,0,0,4.5,7,8.5,8.4,16.2,8.4,24.95
'32002839,9.4,6.75,8.8,8.75,5.75,5.75,0,0,0,23.9,26.95,20.9,24.95
