'32000001;6.2;5.75;2.4;0;0;0;4.75;6.75;8
'32000002;8;5.5;3.2;6.5;5;5.25;0;0;0
'32000003;6.6;6.25;2.6;0;0;0;4.5;5.5;9.5
'32000004;4.2;7;3.2;0;0;0;4.25;5.5;8.75
'32000005;0;0;0;0;0;0;0;0;0
'32000006;8.4;5;4;8;7.5;5.75;0;0;0
'32000007;7.2;6.5;4.6;4;6;6.5;0;0;0
'32000008;9.4;6.5;3.6;8;8.5;6.5;0;0;0
'32000009;7.4;8;5.8;0;0;0;9.25;8.5;9
'32000010;8;6.5;7.2;0;0;0;5.5;6.25;7.5
'32000011;7.6;6.75;3.4;0;0;0;2.5;6;7.5
'32000012;5.4;5.5;2.2;0;0;0;3.5;5.5;7.25
'32000013;6.6;7;4.6;0;0;0;2.75;6;5.5
'32000014;8.8;8.5;8.2;0;0;0;6.25;8;9.5
'32000015;6.6;8.25;5.4;0;0;0;7;8.5;9.25
'32000016;9.2;6.75;6;4.5;9.25;7.75;0;0;0
'32000017;3.6;7.25;3.2;0;0;0;8.75;8.5;9.25
'32000018;8.4;6;7.8;7.75;4.5;5.25;0;0;0
'32000019;9;7;8;8;7;6.75;0;0;0
'32000020;7.2;6.5;7;0;0;0;4.5;6.75;8
'32000021;4.2;7.5;4.2;0;0;0;5.75;8;9.75
'32000022;2.2;0.75;3.2;0;0;0;2.5;1.25;1
'32000023;7;6.75;6.2;5.25;4.75;5;0;0;0
'32000024;6;5.25;2;0;0;0;3.25;6.5;7.75
'32000025;8.6;4.5;4;6.75;8;4.25;0;0;0
'32000026;6;7.75;4;0;0;0;3.25;7.25;8
'32000027;7;6.25;3;0;0;0;3.25;7.5;8.5
'32000028;3.8;5;2.2;0;0;0;3.75;6.5;7.75
'32000029;4.2;4.75;3;0;0;0;4.25;5.25;7.75
'32000030;7.2;7;5.6;0;0;0;0;0;0
'32000031;5;6.75;2.6;0;0;0;4.5;5.75;8.5
'32000032;0;5.5;0;0;0;0;7.25;8.25;0
'32000033;6;6;3;0;0;0;9;8.75;8
'32000034;6;8;4.2;0;0;0;9.25;8.75;9
'32000035;8;7.75;6.2;0;0;0;5;6.5;9
'32000036;2.8;6;2.8;0;0;0;4.25;6.25;6.5
'32000037;8.2;6;6;8;8.75;8.25;0;0;0
'32000038;4;7;3.4;0;0;0;5.25;6.5;8.5
'32000039;2.4;6;2.8;0;0;0;2;6.25;7
'32000040;5.2;5.5;2.4;0;0;0;3;5.25;8
'32000041;7.6;8.5;6;0;0;0;7.75;8.75;8.75
'32000042;5;5;2.6;0;0;0;2.75;3.75;6
'32000043;5.8;6.5;4.4;0;0;0;9;8;8.75
'32000044;8.2;7;4.8;0;0;0;6;8;9.25
'32000045;8.6;8.75;8.4;0;0;0;6;6.75;9.75
'32000046;8.4;7.75;6.2;3.75;7.75;7.25;0;0;0
'32000047;8;5.5;5;6.75;3.75;5.75;0;0;0
'32000048;8.8;5.25;2.6;8.5;7.25;5;0;0;0
'32000049;3.4;5.5;2;0;0;0;6;8.25;7
'32000050;7.2;0;0;7;6;0;0;0;0
'32000051;4.8;4;2.6;0;0;0;4.75;5.75;7
'32000052;7;6.5;4.4;0;0;0;6;7.5;8.5
'32000053;0;7.25;5.6;0;0;0;8;8.75;8.5
'32000054;7.6;7.75;6.2;0;0;0;5;7.25;8.75
'32000055;8.6;7.5;3.6;0;0;0;5.5;8;9.25
'32000056;5.4;4.75;6.6;0;0;0;5.25;7.5;8.5
'32000057;8.6;7;4.8;0;0;0;5.25;6.75;7.5
'32000058;0;0;0;0;0;0;0;0;0
'32000059;8.2;5.75;4;0;0;0;7.5;7.5;8.25
'32000060;7.4;0;7.2;6.25;0;0;0;0;0
'32000061;2.8;4.5;1.6;0;0;0;4;6.25;8.25
'32000062;4.8;5.25;3.2;0;0;0;7.25;7.75;8.5
'32000063;8.8;8.75;9;0;0;0;0;0;0
'32000064;7.2;6.5;4.4;0;0;0;4.75;6.25;7.25
'32000065;7.2;6.75;3;0;0;0;4.5;8;9
'32000066;9.2;6.5;2.6;4.25;9;8.5;0;0;0
'32000067;6.4;6.5;2.8;0;0;0;6;8;8.25
'32000068;6.2;7.5;3.4;0;0;0;5.25;6.5;8.25
'32000069;8.6;7;8;0;0;0;6.5;8.75;9.5
'32000070;6.6;6.75;3.6;0;0;0;4.25;6.25;9.5
'32000071;7;7;4.8;0;0;0;4.25;6.25;8.75
'32000072;7;6.25;4.2;0;0;0;8;7.5;8.75
'32000073;7.2;6.5;3.4;0;0;0;5.75;7.75;8.75
'32000074;8.8;6.75;6.4;6;9.25;8.25;0;0;0
'32000075;4.6;3.75;2.6;0;0;0;5.75;8;8.5
'32000076;5;5.25;0;0;0;0;6.75;5.25;0
'32000077;7.6;5.75;4.2;7.25;4.5;5.75;0;0;0
'32000078;8;0;0;8.25;8.25;3.75;0;0;0
'32000079;8.6;6.75;5.2;0;0;0;0;0;0
'32000080;0;5.25;0;0;0;0;9;8.5;0
'32000081;6;6.5;4.2;0;0;0;6.5;7.5;8.75
'32000082;9;8.25;7.6;0;0;0;7.75;8.75;9.75
'32000083;3.6;6.75;2.8;0;0;0;7;8.25;9.25
'32000084;6.4;5;2.2;0;0;0;3.5;6.75;7.25
'32000085;8.6;6;2.6;7.5;8.75;4.75;0;0;0
'32000086;4;5;3.8;0;0;0;5.5;6;8.25
'32000087;7.6;6.75;1.8;0;0;0;9;8.25;8.75
'32000088;4.6;5.25;2.4;0;0;0;5.5;7.25;7.75
'32000089;4;3.75;2.6;0;0;0;1.75;4.75;8
'32000090;4.4;4.5;0;0;0;0;3.75;6.25;0
'32000091;9;6.75;4.4;8.25;8.75;4.75;0;0;0
'32000092;7.6;7;3;0;0;0;8.75;9;8
'32000093;7.4;7;3.6;0;0;0;5;6.5;7.25
'32000094;4.8;4.5;3.4;0;0;0;7;7.25;7.25
'32000095;7.8;5.75;0;0;0;0;9;0;0
'32000096;7.6;5.5;6;7.25;5.75;6.25;0;0;0
'32000097;9;4.75;3.2;8.5;8;5.25;0;0;0
'32000098;8.8;4.75;2.2;7.5;8.25;3.75;0;0;0
'32000099;7;5.25;3.6;0;0;0;6;7;7.5
'32000100;7.4;6.75;3.6;0;0;0;6.5;7.25;8
'32000101;4.6;5.75;3;0;0;0;4.5;8.25;8.5
'32000102;6;7.5;4.4;0;0;0;8;9;9.75
'32000103;8.6;7.5;5;6.5;8;5.75;0;0;0
'32000104;4.6;6.75;3.6;0;0;0;6.25;7.5;9.5
'32000105;3.6;5.5;0;0;0;0;7.75;8;0
'32000106;7.8;7;5.8;4.5;7.75;7;0;0;0
'32000107;0;0;0;0;0;0;0;0;0
'32000108;4.8;6;2.8;0;0;0;5.75;7.75;9
'32000109;8;7.75;6.8;0;0;0;5.75;8.25;9.25
'32000110;9.4;0;0;8.25;8.5;3;0;0;0
'32000111;0;5.5;0;0;0;0;9.25;8;0
'32000112;8.6;5;3.4;8;8.5;4.5;0;0;0
'32000113;0;5.75;0;0;0;0;8;9;0
'32000114;2.6;3.75;3;0;0;0;5.25;6.25;7.75
'32000115;8.4;5;3.4;5.75;7.25;3.75;0;0;0
'32000116;6.2;4.5;3.4;0;0;0;4;6.5;6.75
'32000117;0;0;0;0;0;0;0;0;0
'32000118;5.2;6.5;4.2;0;0;0;4.75;7.5;9
'32000119;4.4;6;2.2;0;0;0;8.5;7.25;8.5
'32000120;6.4;6;4;2.25;4.5;4.5;0;0;0
'32000121;0;0;0;0;0;0;0;0;0
'32000122;0;7.25;0;0;0;0;9.75;9.75;0
'32000123;4.8;5.25;2.2;0;0;0;7.25;7.75;8
'32000124;5.8;5.75;4.8;0;0;0;7.5;7.75;8.5
'32000125;6.4;5.25;0;0;0;0;6.25;6.75;0
'32000126;5;8;2.4;0;0;0;5.75;8.25;8.25
'32000127;7;7.5;4;0;0;0;4.25;7;9.25
'32000128;8.4;0;0;0;8.25;7;0;0;0
'32000129;7.8;7.75;6.8;0;0;0;4.5;6.75;8
'32000130;8.2;7.5;7.6;8.25;6;4;0;0;0
'32000131;4;5.5;1.8;0;0;0;2.5;4.5;8.5
'32000132;3;4.75;2.2;0;0;0;2.75;2.75;6.75
'32000133;4.4;5.25;0;0;0;0;3.25;5.25;0
'32000134;7.2;8;3.4;0;0;0;4;6.75;8.75
'32000135;6.4;6;3.4;0;0;0;4.5;7;9.25
'32000136;8.8;5.75;3.6;5;8;8;0;0;0
'32000137;6.8;8.25;4.8;0;0;0;7.75;9;8
'32000138;4.2;5.75;3.4;0;0;0;5.25;6.75;8.5
'32000139;3;4.75;2.6;0;0;0;2.25;4;3.75
'32000140;3.2;5.75;3.2;0;0;0;3.75;6.5;8.5
'32000141;7;4.75;3;0;0;0;4.5;5.5;5.25
'32000142;3.8;5.25;2.2;0;0;0;3;4.75;8
